tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
2.034715876,r,1,-84.65753071,-162.2576112,4,953
2.03232759,pair,2,-85.33395204,-153.0265394,4,526
2.032143869,pair,3,-84.57126463,-164.275265,5,1136
2.031944783,l,1,-79.68001624,-155.3083571,4,959
2.028706265,pair,2,-82.27264253,162.8539439,3,671
2.02469187,r,1,-84.02623437,-164.4224494,5,8
2.022786038,l,3,-77.49671932,-150.8919858,4,1218
2.020524142,l,3,-83.19341938,-167.889878,5,502
2.017312815,pair,1,-84.65784953,-162.261079,4,953
2.01046599,l,3,-80.99936492,-153.7352764,3,53
2.009676111,l,3,-79.86139761,-162.8838433,4,121
2.008155043,l,2,-85.29478771,-159.7440891,6,572
2.003856315,r,3,-83.2130027,-167.6907562,5,944
2.002676321,pair,1,-84.02570091,-164.4284648,5,8
2.000164197,pair,1,-79.68028137,-155.3110258,4,959
1.992148454,pair,2,-82.85245292,-171.9545882,4,1371
1.991017319,r,3,-81.16368606,-159.2636352,4,1081
1.988554103,l,3,-82.88294345,-162.1535627,5,578
1.987185428,r,1,-79.68037193,-155.3134943,4,959
1.982014499,pair,1,-84.56431042,-169.4041496,6,557
1.979642923,r,1,-77.19760066,-154.0120259,2,578
1.977126603,l,3,-79.99718012,-155.2621393,2,898
1.976188122,l,3,-85.32155374,-152.4336753,5,968
1.975444658,r,3,-79.82984382,-155.8387672,4,959
1.975232982,pair,2,-85.2121458,-153.7240149,5,526
1.972087389,r,3,-83.87173696,-165.6342441,6,572
1.971879432,r,3,-81.16596885,-159.1778262,2,38
1.97149595,l,1,-84.65818825,-162.264552,4,953
1.970259616,r,1,-82.84002694,-162.5876455,4,197
1.968278284,l,1,-84.02499963,-164.435055,5,8
1.965420521,l,1,-84.5650353,-169.1461187,3,999
1.964185785,r,3,-80.99119468,-153.7422451,3,53
1.960034214,pair,2,-79.10527575,-154.8433786,4,959
1.952752165,r,2,-82.81412623,-173.5695902,5,938
1.95191684,pair,2,-81.14690738,-159.0316158,4,1081
1.94967016,l,2,-84.06678236,177.8492469,3,969
1.944920566,r,3,-81.19884563,-159.6437262,4,541
1.94318454,r,3,-82.88337383,-162.1618804,5,578
1.940686231,r,1,-81.16852741,-159.3193367,4,480
1.939229625,l,1,-84.56445755,-169.4082129,6,557
1.936062378,pair,1,-82.83963098,-162.5832504,4,197
1.935903917,r,3,-85.19661719,-154.9607808,6,648
1.934151148,r,3,-81.32382414,-159.52519,4,1081
1.933191152,l,2,-81.00177336,-153.6706588,5,495
1.932618819,l,2,-81.09995311,-157.3966493,5,959
1.93165478,pair,3,-76.49075944,-147.5652788,5,586
1.927117961,pair,2,-81.31999514,-159.3093536,4,1081
1.921209744,pair,3,-81.32288909,-159.5207684,4,1081
1.917342657,pair,3,-82.88315856,-162.1577237,5,578
1.915013315,pair,3,-85.27724974,-159.4322956,6,572
1.914839132,l,1,-85.34261272,-153.3938746,4,526
1.914819228,l,1,-79.74451316,-155.7936145,4,53
1.914427947,r,1,-81.51202118,-163.5776596,5,944
1.913735829,r,3,-85.30442426,-157.9698401,5,8
1.911622794,l,1,-83.15222536,-161.839688,5,526
1.906707766,l,1,-83.18976829,-167.6048745,4,60
