beam,beam_pair,lat,lon,repeat_cycles_no,track
r,2,-69.17524922,-62.23681941,5,1009
l,1,-69.3450574,-62.78606873,3,125
l,1,-68.96267041,-63.72359709,4,300
l,2,-69.35349224,-61.86570427,3,1062
r,1,-67.95217294,-65.47632395,3,925
r,1,-69.32348562,-63.06916809,3,239
l,3,-66.53041252,-62.73072992,6,64
r,3,-69.69128856,-61.96916457,5,1009
r,1,-69.62342818,-62.39470942,2,178
r,1,-66.21246145,-60.89270469,4,826
l,3,-70.21227483,-62.26369651,5,1062
l,1,-70.85770088,-61.28976229,4,56
r,3,-65.5728296,-61.82420382,5,681
r,1,-70.50508191,-61.41689705,3,1001
r,3,-66.12073474,-61.97632594,5,681
r,1,-68.78582115,-60.81260339,4,1001
l,3,-68.41289528,-62.930019,2,239
l,2,-67.33039395,-64.8449211,3,422
r,1,-69.39948302,-62.31706044,3,178
l,3,-68.45986027,-63.69361626,3,186
r,1,-66.21541962,-62.11227271,4,239
r,1,-67.70815124,-65.4011775,4,925
l,1,-69.0266439,-63.74506972,4,300
l,3,-68.10647803,-64.90638819,4,864
l,1,-66.86576479,-60.19070237,3,323
l,2,-67.59086682,-64.82902661,3,247
r,2,-66.37077512,-63.10927565,5,1009
l,1,-66.0017771,-62.25079966,4,3
l,2,-68.77332621,-64.45163287,5,247
l,2,-70.70186583,-60.90539254,3,948
r,3,-70.83540384,-61.46867375,4,56
r,2,-68.49800468,-62.98272824,3,125
l,1,-70.25952776,-61.94203602,4,1009
r,2,-68.45704404,-63.64276385,3,300
r,2,-66.58977276,-62.55298012,4,1184
l,3,-69.15274803,-63.17903197,2,239
r,3,-68.68101504,-63.79955688,2,300
r,3,-70.44939388,26.41143124,5,1043
r,1,-71.43373038,-9.095505129,6,572
r,2,-71.55778843,-11.05975003,3,252
r,2,-69.14776412,31.38281973,4,235
r,1,-70.82796103,22.89193158,5,853
r,1,-69.81599688,16.43897892,2,7
l,1,-70.45173521,24.25814413,4,1226
r,2,-70.64901761,5.658135794,2,358
l,2,-69.74491286,38.18491545,6,1073
l,2,-70.57141922,-8.586419122,2,1014
r,2,-71.82111699,-10.86560841,5,763
l,3,-70.73853727,-5.627838969,5,770
r,2,-69.27909819,32.79635774,4,502
l,1,-72.45626655,-11.60478162,5,1197
r,2,-70.88810104,2.96987014,4,99
r,3,-69.01528549,33.82920451,2,883
r,3,-70.52601904,-3.251665347,6,595
r,1,-70.51872224,17.73961758,5,1272
r,3,-70.21290751,13.26049382,5,693
l,1,-70.46087368,29.23769468,5,807
l,1,-71.32044347,-2.556900167,5,526
l,1,-71.49004783,-2.106343689,5,23
l,3,-70.4202129,18.37669692,4,1211
l,3,-70.34159391,12.50689401,5,1204
l,1,-70.36989845,8.971618927,3,114
r,3,-70.54219452,18.03541638,4,777
r,3,-70.54650964,18.06593653,5,769
l,3,-70.50843993,19.12175297,5,1150
l,2,-70.63225435,6.298749982,4,305
r,3,-71.47007612,-2.032607316,3,465
l,2,-69.77672803,29.08897909,3,860
r,1,-70.1800822,8.895906184,3,1006
r,1,-70.625095,6.797245598,4,739
r,2,-71.30817439,-3.034657602,6,595
r,2,-70.19201449,31.5659934,5,624
l,2,-71.89285037,-0.71665602,4,1357
l,2,-69.1547783,31.45367521,3,1066
r,2,-71.03888756,-5.738143712,3,336
l,1,-70.75059985,18.96808409,5,1158
r,3,-69.5758937,29.33072908,5,1302
r,1,-70.40261883,24.0142905,5,784
r,1,-70.68950592,22.06036856,4,914
r,3,-70.62416215,6.13033195,5,1250
r,3,-71.76245397,-11.5019313,5,1197
r,3,-71.62176015,-8.258617921,3,1022
r,2,-70.68552848,21.21930728,4,525
r,1,-70.91395205,19.66524171,5,647
r,2,-70.63725186,10.71525095,5,884
l,3,-68.84277597,39.99564978,5,395
r,2,-71.88055821,-10.93619108,4,694
l,3,-70.17235246,16.1339135,3,7
l,2,-71.31671861,-3.948068152,3,1090
l,1,-71.02372711,26.37569275,5,1043
r,2,-71.373974,-6.121755173,6,839
l,2,-70.47250383,16.87711851,4,396
r,2,-70.89113791,2.709248846,3,1044
r,2,-70.18178211,18.84672029,6,1158
r,3,-71.04960827,26.27917014,6,609
r,3,-71.1485426,-2.678695878,4,526
r,2,-70.32546865,14.74829733,5,1021
l,2,-70.49222741,17.14174709,4,388
r,3,-70.49768559,8.220559396,6,617
l,1,-69.73916726,13.61311295,5,693
l,1,-70.88453017,24.98720491,3,228
r,2,-70.77293467,22.48405893,4,1348
l,1,-70.55819434,7.343792045,2,236
l,1,-70.34944752,13.91112446,4,190
r,3,-70.27686548,14.53461226,5,129
l,3,-70.48335066,17.49139601,5,1280
r,3,-72.11221656,-11.13562059,4,694
l,2,-70.98191332,-2.775424196,5,84
r,3,-70.30139391,14.31019159,4,137
l,1,-70.31205077,12.62733647,6,754
r,3,-70.57702564,10.52382669,4,442
r,1,-70.28585021,30.2134125,4,1188
l,1,-71.11648508,1.41827182,5,221
r,1,-70.86767561,19.16416862,6,1150
l,1,-70.37222058,18.31618896,3,769
r,2,-70.49438705,10.14151278,4,1387
l,2,-70.71241604,-7.861726126,4,953
l,1,-70.2251764,21.74586803,4,967
l,3,-72.60394497,-12.65330603,5,1258
r,1,-71.01993971,25.82075513,3,167
r,2,-70.47182518,17.40674019,5,830
r,1,-71.81346664,-0.586177284,4,412
l,3,-72.73614671,-14.01343745,3,435
l,3,-70.61665846,22.21315143,4,914
l,3,-70.36912393,23.84829969,3,784
l,1,-70.9807124,25.61361294,5,1104
r,3,-70.53753753,19.07172406,5,1158
l,3,-70.46570544,10.0525563,6,937
l,3,-70.72514704,27.96436033,5,929
r,1,-70.90434459,27.07344522,6,990
r,1,-70.3689717,26.87006027,6,990
l,3,-69.99543182,27.68679422,5,929
l,3,-70.60376431,6.624870063,4,739
r,1,-70.75404851,24.40047475,3,281
r,3,-70.48456714,2.701810413,5,1052
r,2,-70.82518329,27.39621837,4,37
r,1,-70.86983536,20.20178981,3,144
l,3,-70.40611887,23.83416237,4,784
r,3,-70.89397029,19.2114214,5,1158
l,2,-69.66087945,35.78226185,3,1203
l,1,-70.62959059,5.946955818,5,1250
l,3,-70.6906415,22.24196607,5,914
l,3,-72.890553,-14.086587,3,435
r,3,-70.57525716,12.08386191,3,312
l,2,-70.86674965,-7.921888442,5,953
r,1,-70.37577748,12.34166578,5,1204
l,2,-70.44250653,2.851766897,5,107
l,1,-70.53751925,17.84871407,4,777
r,3,-70.42490754,8.767704173,3,114
l,1,-70.53794212,18.25421621,4,769
l,1,-70.14276474,12.68958636,6,754
l,1,-70.21540735,13.96064269,4,190
l,2,-71.03376269,-2.795986945,5,84
l,2,-69.74740004,37.88894776,5,578
r,2,-70.59203611,22.55377921,4,1348
l,1,-70.31580012,7.434230909,2,236
l,2,-70.81705842,-7.125614856,3,900
l,2,-70.33462081,14.86491008,5,571
l,1,-70.28978135,13.41420586,6,693
l,3,-70.49813286,17.56803331,5,1272
r,3,-70.39954434,29.39836724,5,807
r,3,-71.37595778,-2.252896668,5,23
r,3,-71.32968971,-2.752960601,4,526
r,2,-70.58658786,28.85984952,4,1310
r,2,-70.62989251,2.810750083,3,1044
r,3,-70.3899912,26.02068036,6,609
r,2,-71.27330731,-6.162805817,6,839
l,1,-70.41547813,26.60822901,6,1043
l,3,-70.09463323,16.16302253,2,7
l,3,-71.16789936,-9.174392302,6,572
l,3,-70.76552727,23.0497602,5,853
l,2,-71.36784714,-3.968945654,3,1090
r,2,-72.05596904,-11.01204342,4,694
r,3,-70.40174388,24.09326252,4,1226
r,2,-70.23631594,14.19587882,3,137
l,3,-71.73506767,-0.42763382,4,412
r,2,-69.74556728,35.32658556,4,372
r,1,-70.63550986,22.03981414,4,914
r,2,-69.34178235,32.87347019,3,113
l,3,-71.05656486,26.01956877,3,167
l,1,-70.61588006,18.91670753,5,1158
r,3,-70.98881429,25.42129575,4,1104
l,2,-71.53735383,-0.866746172,5,1357
l,2,-70.1598255,31.81098263,4,1066
r,1,-70.74455296,27.79026619,5,929
r,2,-71.23280393,-3.065270931,6,595
r,2,-70.71028027,-5.786872203,5,328
l,3,-70.83551897,27.22929676,6,990
l,1,-71.29163236,-10.5929077,5,694
r,3,-70.35719381,13.72532352,4,190
l,1,-70.32399292,14.69942374,5,129
l,2,-70.61547917,28.77788483,5,860
r,3,-71.16436044,1.208616941,5,221
l,3,-70.27646775,30.38730046,4,1188
l,1,-70.50401214,10.31130865,4,442
l,2,-70.76940793,22.69946382,3,411
r,2,-70.35593364,23.84159275,4,1234
l,1,-70.32409317,14.13612605,3,137
l,3,-70.76949043,19.02014866,5,1150
l,1,-70.27499285,9.006826238,3,114
r,1,-72.5703144,-12.4373625,5,1258
r,3,-70.46289363,21.47351821,5,967
l,1,-71.07603983,26.09977116,6,609
l,3,-70.52057308,18.33814518,4,1211
l,1,-70.48520781,8.409774322,6,617
l,1,-71.07588715,-2.459432817,5,526
r,2,-71.45954605,-3.491555075,3,1098
r,1,-70.32476281,15.21609265,4,1013
l,2,-70.67859944,28.49378625,3,418
r,3,-69.08775092,33.85411938,2,883
r,3,-70.97388471,25.21081643,3,228
l,2,-70.63999568,5.004064349,6,869
r,3,-70.67044017,-3.195585646,6,595
l,3,-71.3874775,-0.833471609,5,1357
l,2,-72.79104889,-13.67663771,3,877
r,3,-70.57614214,7.151823401,2,236
r,3,-71.09633831,-9.773684953,5,199
r,2,-71.76081168,-10.89126166,5,763
l,3,-70.90936525,19.48376782,5,647
l,1,-71.77014996,-11.30809599,4,1197
l,1,-71.71025634,-8.417442637,2,1022
r,2,-69.69716714,32.94309251,4,502
l,3,-71.52823632,-8.544224872,5,511
l,2,-70.86661747,-5.325934981,6,1212
l,2,-71.425443,-8.92514909,2,1014
r,1,-68.90945283,39.85207811,4,395
r,2,-70.33055401,5.77931008,3,358
r,1,-71.31518326,-9.047537829,6,572
l,2,-71.23462788,-3.135858329,3,1029
l,2,-70.69921616,11.09227844,5,1318
r,1,-69.80412926,16.44319203,3,7
r,3,-70.85168845,-5.2001661,4,1220
l,3,-69.69024321,37.5978512,2,189
r,3,-71.02137407,26.1870487,4,1043
r,1,-71.14594666,-9.239623485,3,130
l,3,-69.74283994,37.57884186,2,189
r,3,-71.34954239,-4.998366088,5,1220
l,3,-69.83447801,36.97026713,2,197
l,1,-70.5305896,7.466735264,4,1128
r,3,-70.06788311,26.55529331,4,1043
l,3,-71.73903513,-8.633765995,5,511
l,3,-70.29673145,15.60375499,4,960
l,3,-71.0421892,-5.748549896,5,770
l,2,-69.80973601,38.16166554,5,1073
r,1,-70.11666923,38.97444643,4,959
r,1,-70.70721751,-2.578592364,5,84
l,2,-71.36153907,-5.524067661,5,1212
r,3,-70.27556796,1.03786041,5,724
r,3,-70.98728925,2.058910584,5,160
l,2,-69.12545785,34.50799949,3,1378
l,3,-70.54269695,18.32959506,4,1211
l,1,-71.1230234,-3.465651571,3,153
l,1,-70.22827656,-2.136889563,4,526
r,1,-70.19660213,31.61849831,4,1119
l,1,-70.79053481,4.191237396,5,930
l,1,-70.95796096,26.83205822,5,548
l,1,-70.11570726,12.43943828,2,312
l,1,-70.32474017,9.767272334,4,53
r,3,-70.34935786,13.80948082,3,640
r,3,-71.48395901,-11.12494839,4,252
r,1,-70.09631327,17.16927399,6,1280
l,2,-70.58016562,6.538398333,5,747
l,1,-70.23325496,14.10259822,3,137
r,2,-70.40656926,23.86065611,5,1234
l,2,-70.44599535,22.57538976,2,411
r,1,-70.24223784,8.91873698,3,1006
l,2,-69.75229077,29.0978436,5,860
r,1,-70.13752452,6.200268389,5,800
r,1,-70.57948445,29.0251052,3,365
r,1,-70.92186519,2.427436512,6,610
l,2,-69.73037537,37.36408919,4,1081
r,2,-71.36624377,-6.048070855,4,328
r,2,-70.82012983,-3.229253942,6,595
r,2,-70.84523007,3.506047162,5,983
r,2,-70.15016869,31.8054027,4,174
l,2,-70.47667942,8.581768479,6,1059
l,2,-69.97859861,32.78245952,4,60
r,3,-70.57767833,28.95834645,6,1302
r,1,-70.29002865,30.28618496,4,296
r,2,-71.84076903,-10.91915032,5,694
r,1,-71.36658164,-5.693255547,5,770
r,2,-70.79502922,24.55217149,5,723
r,3,-71.41050921,-11.35316384,5,1197
r,1,-70.91395173,19.40558754,3,205
r,2,-70.51842512,21.28323068,5,525
r,3,-70.54035977,18.29418664,4,1219
l,2,-71.29424938,-3.938926001,3,1090
l,1,-70.35024525,29.74739737,6,799
l,3,-69.09929789,34.43193402,3,1378
r,3,-70.82810994,-2.550136724,3,526
r,3,-70.49868602,4.264845309,5,930
l,2,-69.69328532,35.6075862,6,814
r,2,-70.18400028,6.353290751,4,1242
r,2,-70.50087549,22.58865141,4,1348
l,1,-71.21964649,0.85831234,5,724
l,3,-70.30386714,14.26729311,4,1074
l,2,-70.63427371,-7.456214493,3,458
l,1,-70.46606868,9.974166716,5,495
r,1,-70.39756148,29.47621841,3,1249
l,2,-69.84999472,37.14738236,6,639
l,1,-70.77661676,-3.341098323,6,595
r,3,-71.01096,25.6718347,2,159
l,3,-70.35748605,9.139541483,5,1006
l,1,-71.05513901,1.70213741,6,663
l,2,-71.26891667,-2.890433715,5,84
r,3,-71.74481147,-10.97551755,5,694
l,2,-70.89086168,3.024606577,5,107
r,3,-70.73348082,12.02226279,3,312
l,2,-71.59977822,-8.218488246,5,953
r,2,-71.03133497,26.4377828,6,1051
r,3,-70.27642384,9.083550444,5,556
l,2,-70.2250904,21.71412899,5,472
l,1,-70.32565068,18.33341483,3,769
r,3,-70.43157155,26.81502155,4,548
r,3,-70.17056517,18.93202495,6,1158
l,3,-70.35620563,23.85331241,4,784
r,2,-70.69841134,28.3837039,2,426
l,3,-70.36317594,22.11572149,5,914
l,2,-70.04921079,32.54900138,4,1005
r,2,-71.43124437,-1.661077593,2,907
l,3,-71.0795759,-9.917429109,2,633
r,2,-71.29404928,-3.300118936,3,153
r,1,-70.87088496,20.98024358,5,83
r,1,-70.84910893,20.46947113,5,586
r,1,-70.41074365,23.75164154,4,342
r,3,-70.89924286,2.863871299,5,1052
r,2,-69.67042105,36.13231017,3,311
l,3,-70.62577859,5.837821747,4,800
l,3,-70.91001698,2.606105625,6,610
r,3,-70.62988391,2.757996952,5,1052
r,1,-70.35568002,23.7721667,4,342
l,3,-70.50594865,29.17690418,3,365
r,3,-69.66126598,35.78892346,6,1256
r,2,-71.17957802,-3.346509648,2,153
l,2,-69.1396861,34.82242395,5,1264
l,3,-70.29233129,30.10782787,4,296
r,2,-71.34909194,-5.002559361,4,709
l,1,-70.48377009,29.1787997,6,1302
r,3,-70.94925618,27.01744951,5,548
l,1,-70.31948949,13.61527306,3,640
l,2,-70.61899823,2.919062668,5,107
l,2,-70.6542823,5.528449792,3,366
r,3,-70.38015688,9.044108767,5,556
r,2,-70.40225435,26.19422587,6,1051
r,3,-70.23529729,9.618288768,4,53
l,2,-70.8994902,-7.934752613,5,953
l,1,-70.48395474,17.56915601,3,335
l,2,-71.11639787,-2.82897851,5,84
r,1,-69.63424537,38.30916147,6,1073
l,3,-70.27782448,9.10932069,3,1006
r,2,-70.39392579,21.52028514,5,30
l,2,-70.78117844,-7.399302605,3,458
l,1,-71.05220401,-3.233940015,6,595
r,1,-69.71198266,29.22773655,3,1249
l,1,-70.95192302,2.261604162,3,160
l,1,-70.43956825,1.15946169,5,724
r,2,-70.5309678,22.57716443,4,1348
r,1,-70.27434786,18.60949855,5,1211
r,2,-70.63544094,6.18272377,3,1242
r,2,-70.43445857,2.885278002,3,1044
r,3,-70.88436751,3.137995323,4,541
r,3,-70.69207452,-3.446980994,3,153
l,2,-70.09723721,17.28945281,4,388
r,3,-70.75302324,4.363691196,5,930
r,3,-70.75289307,-2.52064091,3,526
r,2,-71.34010439,-4.83821608,4,275
l,3,-71.10486207,-9.408186567,3,130
r,2,-69.67785778,36.3098693,3,700
l,1,-71.34172118,-5.194126043,5,1220
r,1,-69.6800022,37.77380253,2,189
l,3,-70.48792981,24.32232448,3,281
r,2,-70.7273816,-6.379372333,6,839
l,1,-70.11887153,26.71743815,6,1043
r,1,-71.71024,-8.430381382,5,511
r,1,-70.31604209,15.43324556,4,960
l,3,-70.69790988,-2.756160192,5,84
r,2,-71.75994692,-10.88477088,5,694
r,2,-70.3848146,10.61914405,5,884
r,3,-69.71545394,29.28058759,6,1302
l,1,-70.24706694,18.7788287,6,1158
r,1,-71.09606759,-9.739067168,2,633
r,1,-72.78826405,-13.83552929,3,435
r,1,-70.27466216,21.90468767,5,914
l,2,-69.74453349,37.40631407,5,1134
r,2,-71.08297933,-5.933543193,4,328
l,3,-70.26579195,18.69487127,2,266
l,3,-70.88983736,20.27058634,5,586
l,3,-70.85446272,20.80407587,5,83
r,2,-71.38926309,0.37221469,5,793
l,3,-70.67514412,23.47100113,4,342
r,1,-70.63808591,6.013815954,4,800
l,1,-70.89642106,2.674703995,5,1052
l,2,-71.29163078,-0.967746974,5,1357
r,3,-71.10620642,1.491610423,6,663
r,2,-70.37257644,23.84784684,4,1234
r,3,-70.13089508,12.51264846,6,754
l,2,-70.19439103,6.393000392,5,747
r,1,-70.37043757,8.966173243,4,1006
r,3,-69.6593098,36.13131055,3,258
l,1,-70.02953716,9.875249241,4,53
l,1,-70.37547464,12.34380076,3,312
l,3,-70.4263091,19.15325947,5,1150
l,1,-70.41393987,26.62452012,4,548
l,2,-71.33544788,-4.474945762,4,206
l,1,-70.80633031,-2.354327115,4,526
r,1,-69.06588483,34.6106096,3,1378
r,3,-70.3864806,29.5503814,6,799
r,3,-71.24660338,0.655754865,5,724
r,2,-71.0062595,25.64933525,5,1112
l,3,-70.38337618,29.64915872,3,1249
l,1,-71.02550771,25.85523856,2,159
r,3,-70.69652427,-5.873376643,4,328
r,3,-70.3935938,9.817838979,6,495
r,1,-70.28687988,14.45131857,4,1074
l,2,-69.90519321,38.12720083,5,1073
l,2,-70.90626022,-5.341503214,5,1212
r,2,-70.38150584,3.164770101,3,99
l,1,-71.45189685,-11.17661313,5,1197
r,2,-71.57103424,-10.97104687,5,763
l,1,-70.54789268,18.11228318,4,1219
r,3,-70.87734332,-5.189972603,4,1220
r,2,-70.19542332,31.2694679,4,677
r,2,-70.79374314,4.027560616,5,488
r,2,-72.44403129,-11.44357152,3,252
r,1,-71.19680326,-9.000111501,6,572
l,1,-70.47675929,21.4583239,6,30
l,3,-70.15030532,16.3270549,3,899
l,3,-70.60465241,6.639261345,5,747
r,3,-70.40984618,23.95234095,4,1234
r,1,-71.17287926,-2.760186273,4,84
l,2,-69.62659386,38.22698987,4,1073
l,3,-70.49801789,7.895460471,4,183
r,1,-70.62887919,2.833892712,5,107
r,1,-70.63142552,5.430638195,4,366
l,1,-70.39620331,26.09903105,6,1051
r,1,-70.99470809,-7.881647393,4,953
r,2,-70.50680858,17.67121472,3,335
l,2,-70.33611281,19.27787162,5,1150
l,1,-71.34653945,-4.903859909,4,709
r,2,-70.57690218,29.04991183,6,1302
l,3,-70.48754984,8.486613621,5,1059
r,3,-70.17348146,31.7073098,4,174
l,1,-71.35536353,-3.372743294,3,153
r,1,-69.11131016,34.73008846,4,1264
r,3,-70.85145102,3.4109413,5,983
r,3,-71.37274836,-6.145800402,4,328
r,3,-70.83307697,-3.131627974,6,595
l,2,-70.33816344,15.26948601,6,518
l,3,-71.43612003,-0.813240696,5,1357
l,2,-70.30457338,23.70338315,4,342
l,1,-71.45689369,-10.65974768,5,694
l,3,-71.36007989,-5.618619137,5,1212
l,3,-69.83468182,38.06449889,5,1073
l,3,-71.22072189,-8.936137466,2,1014
l,2,-70.87088508,-5.587271678,5,770
l,2,-71.73276287,-8.534097537,5,511
l,2,-70.33806394,15.52913472,5,960
r,2,-70.09059953,26.63603295,5,1043
l,2,-69.72007913,36.84125467,2,197
r,3,-72.30597058,-11.48166898,3,252
l,1,-71.34214806,-4.934911027,4,275
l,3,-70.83383502,-3.069324231,2,1029
r,2,-71.3610789,-5.088594392,5,1220
l,1,-69.68057931,36.22099811,3,700
l,2,-69.68864916,37.68577483,2,189
l,2,-70.50651824,18.4346133,4,1211
l,1,-70.62198418,6.282038557,2,1242
l,1,-70.40858843,2.988190859,3,1044
r,2,-70.98409283,2.153401545,5,160
r,2,-70.56491178,-5.922839082,3,336
r,2,-70.30786956,1.115803415,5,724
r,1,-70.78489089,-7.487718934,4,458
l,3,-69.75008699,28.7509181,2,418
l,2,-69.70645733,29.31072528,3,1249
r,2,-70.41644423,26.71854552,4,548
r,2,-70.285176,9.170265482,5,556
r,3,-71.03311074,26.53192051,6,1051
l,3,-71.67804403,-8.348072299,5,953
l,3,-70.24343487,21.81077522,5,472
l,3,-70.26898424,5.472349677,3,366
l,3,-70.88754321,3.115997614,5,107
r,2,-70.14437702,8.963184419,3,114
r,3,-70.90686737,19.74227731,2,1089
l,3,-71.27685023,-2.988294613,5,84
r,2,-70.25579296,14.20311326,3,137
l,2,-70.38448352,9.059353085,5,1006
r,1,-70.08829304,16.12816322,3,899
l,1,-71.06496396,-5.824016822,3,336
l,2,-70.6264287,5.929141009,4,800
r,2,-70.88293145,2.764760647,5,1052
r,1,-71.26496593,-1.070532922,5,1357
l,1,-71.06605156,-5.830618807,4,328
l,1,-71.71975611,-8.691156141,4,69
l,1,-71.40618167,0.28115926,5,793
l,2,-71.09373846,-9.829290925,2,633
l,3,-69.60987764,35.0730248,4,1264
r,3,-71.34443846,-3.184771177,3,153
r,3,-71.41244043,-1.748750745,3,907
l,3,-70.03889235,32.63419388,5,1005
l,2,-70.31528038,22.00737233,5,914
l,1,-70.22529548,31.35059986,5,677
l,3,-69.62448968,36.63530335,6,1142
l,1,-70.78987555,3.931160917,4,488
l,1,-72.45755673,-11.34603556,3,252
r,2,-70.54417921,18.20465967,4,1219
l,1,-70.41316228,3.245716269,3,99
r,2,-71.44240251,-11.27094393,5,1197
r,3,-70.76503898,21.09631095,4,525
l,1,-71.48625378,-11.10467618,5,763
r,3,-70.79346415,24.46036927,5,723
r,1,-69.93129169,38.20379663,6,1073
r,3,-70.03418468,10.577782,5,884
r,1,-70.91953587,-5.256473658,5,1212
l,2,-70.77732958,-2.695117684,5,84
r,3,-72.23877233,-11.19218008,4,694
l,3,-69.84005248,37.23194698,6,639
r,2,-71.04209819,25.75287622,2,159
l,2,-70.29279428,14.36160297,4,1074
l,1,-70.95550977,25.53367041,5,1112
r,3,-70.14428024,6.278670292,3,1242
r,1,-71.32825495,-4.379705361,4,206
r,2,-70.83621757,-2.46087657,3,526
r,2,-69.75097403,29.06950928,5,807
r,2,-70.74406019,-3.518606354,3,153
r,2,-71.04580642,-3.400077214,3,153
r,2,-70.86151465,3.239745822,4,541
r,2,-70.20158996,-2.219168367,4,526
l,2,-70.19314212,31.53259611,4,1119
r,2,-70.78218716,4.282942724,5,930
l,3,-70.10285169,17.19822576,4,388
r,3,-70.46303832,2.783625577,4,1044
r,3,-70.6211661,6.096799698,3,1242
r,3,-70.48732399,22.50296214,4,1348
l,3,-69.80746569,37.22010173,6,639
l,3,-70.7909321,-7.303097721,4,458
l,3,-68.4885237,41.64599012,3,829
l,3,-71.40696979,0.332542918,3,282
r,1,-69.8035884,38.24939849,6,1073
r,2,-70.31089458,29.92898882,4,1241
r,3,-72.14050095,-11.14817155,4,694
l,2,-70.82653148,-2.714305485,5,84
r,1,-71.35417029,-5.428688915,5,1212
r,3,-70.70972177,-6.294150693,6,839
r,2,-70.5359158,7.562236336,4,1128
l,2,-70.52555265,24.39880407,3,281
l,2,-71.12697986,-9.323371289,3,130
r,3,-69.57406354,36.36003372,3,700
r,3,-71.32555917,-4.749249652,4,275
r,3,-71.35700521,-5.100938516,4,709
r,2,-70.60260683,19.00553938,5,1158
l,2,-70.29789154,30.19571805,4,296
r,3,-71.21848497,-3.236540426,3,153
l,1,-70.143021,31.8997881,4,174
l,3,-69.6915246,35.10238461,4,1264
r,1,-70.46600598,8.674078922,5,1059
r,1,-70.02169205,32.7119674,4,60
r,1,-69.73165227,37.27939278,4,1081
l,1,-71.36757785,-5.951067957,4,328
l,1,-70.83411102,3.605495183,4,983
r,1,-69.70082565,37.50702909,4,1134
r,2,-69.6894289,35.86619435,6,1256
r,2,-70.61938235,2.662444035,5,1052
l,2,-70.32097529,10.19769055,4,937
l,2,-70.52941607,29.09490887,3,365
l,2,-70.89832239,2.508474916,6,610
r,2,-70.29527575,14.21785262,3,137
r,1,-70.60686619,6.459636847,5,747
l,1,-70.4123831,23.76984885,5,1234
r,1,-70.47480251,22.49797451,2,411
r,3,-70.2968265,21.57383501,5,30
l,2,-70.27630765,9.018770372,3,1006
l,3,-71.23138575,-2.969662987,4,84
r,2,-69.12269728,34.55924532,4,822
l,3,-70.65610385,5.62088375,3,366
l,3,-70.69564461,-7.947238533,5,953
r,2,-70.34974482,9.665343428,4,53
r,3,-70.42004446,26.29151611,6,1051
r,2,-70.356347,9.143546048,5,556
l,3,-70.60189253,3.003839667,5,107
r,2,-70.94853444,26.92405187,5,548
r,3,-70.31744745,10.16484637,3,1387
r,1,-70.23053015,0.974857768,3,282
l,2,-70.37850486,29.55690999,3,1249
r,1,-69.85253004,37.06260162,6,639
r,3,-71.04236453,25.75717666,5,1112
r,2,-71.23725538,0.754141974,5,724
r,2,-70.69696045,-5.872088426,3,336
l,1,-70.20484147,6.437654151,4,1242
l,2,-70.474123,18.44692533,4,1211
r,2,-70.38072894,29.64308149,6,799
l,3,-71.33134632,-4.56810615,5,206
r,3,-70.77094605,4.110964302,5,488
r,3,-72.45778665,-11.55066253,3,252
r,3,-70.23253468,31.16584524,5,677
l,3,-70.22733578,19.22868683,5,1150
l,2,-71.34333603,-5.776337639,5,770
l,1,-70.84426086,24.62809451,5,723
r,3,-70.38584539,3.072742963,3,99
l,2,-70.67239461,-8.106170064,5,511
l,2,-70.8635088,19.33504886,3,205
r,3,-70.31346626,29.8379022,4,1241
l,1,-71.5591546,-10.70157396,5,694
l,3,-70.55094857,-8.669892239,2,1014
r,3,-70.23240752,5.726454447,3,358
l,3,-69.8651441,38.0534796,6,1073
l,2,-70.56374258,23.60530077,4,342
l,1,-69.68004371,36.21859596,3,311
r,3,-70.94599668,-5.68190404,3,336
r,3,-71.32783017,0.442128987,5,793
l,3,-69.72468841,37.32580964,4,1134
l,2,-70.84682001,20.89961592,4,83
r,3,-71.46217902,-8.778872101,4,69
l,2,-70.87990202,20.36733707,5,586
r,3,-71.24308432,-6.092377392,3,328
r,3,-71.1924397,-2.987243459,6,595
l,1,-70.71081552,28.29399143,2,426
l,3,-69.13015028,32.56820801,4,60
r,1,-70.05849862,32.46585172,5,1005
l,1,-71.42923581,-1.562126084,3,907
l,1,-71.45426921,-3.332642978,3,153
l,3,-70.30019543,18.42236807,4,1211
l,3,-69.74646268,36.93828349,2,197
r,1,-70.89582082,2.93638472,5,107
r,1,-71.58484862,-8.118681822,5,953
l,1,-71.03050363,26.34145508,6,1051
r,1,-70.26149151,21.64025878,5,472
r,1,-69.68137222,37.78031172,5,578
r,1,-71.26347953,-2.796341918,5,84
l,3,-70.41163814,7.862326966,4,183
l,3,-69.89727541,16.23345358,3,899
r,2,-71.21219488,-1.831582657,5,465
l,3,-70.1193086,6.194875436,4,305
l,3,-70.21698498,6.491125487,5,747
r,1,-70.8279397,-2.624985637,5,84
r,2,-70.13803937,12.59941448,6,754
l,3,-70.97983147,25.47009035,4,670
l,3,-70.63939179,6.393087444,5,305
r,2,-71.47208098,-1.937769453,3,465
l,1,-70.02512311,9.875180278,3,1387
r,2,-70.54255228,18.15874773,5,769
r,1,-70.82179132,-7.81436917,4,953
l,2,-70.36540123,12.42558688,5,1204
r,2,-70.53239558,17.94038796,4,777
r,1,-70.46724039,2.772877532,4,107
r,1,-69.67579102,35.70268874,3,1203
l,1,-71.32811418,-3.383722415,3,153
