beam,beam_pair,lat,lon,repeat_cycles_no,track
l,3,-70.27869345,67.49595577,5,592
l,3,-70.63923589,72.28807609,3,218
l,3,-69.32404425,69.39786826,4,20
r,3,-73.26285165,67.48761301,5,1156
r,3,-69.80442615,73.55023107,4,104
l,1,-69.87995237,67.94997486,4,531
l,3,-69.59514424,75.79294318,3,1361
r,3,-71.07338085,68.84630008,4,973
r,1,-69.60066016,69.21204974,4,965
l,1,-69.85909146,74.42968451,5,485
l,2,-71.45692395,68.67933241,5,20
l,3,-69.34163413,69.65131248,3,462
l,3,-72.3467024,69.49577317,5,843
l,1,-69.47401478,68.84516551,5,912
l,1,-72.02109892,67.48821678,6,1095
l,1,-68.96810238,69.711443,3,1293
r,1,-68.769206,70.2727504,4,904
r,1,-73.30981962,67.03921373,5,714
r,1,-71.9214896,67.70786626,3,150
r,1,-70.27174591,72.60590867,3,218
l,2,-68.61113058,69.72412758,4,20
r,3,-69.62595871,69.33447656,4,1354
l,3,-69.56433132,69.05321721,5,965
r,1,-69.85997904,74.69197976,3,927
l,3,-68.74309112,69.59695508,4,20
l,3,-68.74819489,70.32472019,5,790
l,2,-69.78873882,69.06043919,4,965
l,3,-69.85725359,74.65961033,4,980
r,2,-68.57748128,69.66866322,2,1293
r,3,-68.35837549,69.93869006,4,348
l,2,-72.41162556,69.30744546,5,401
l,1,-72.41842246,69.2181435,5,973
l,2,-70.3120868,72.76327399,5,660
r,3,-70.7974477,68.47688523,5,531
l,1,-70.02388181,72.93163316,4,607
l,2,-68.72894734,70.23475564,4,790
r,3,-70.69770864,72.32972222,3,226
r,2,-71.44666092,70.97949589,4,348
r,2,-71.55849262,68.69046467,4,531
r,1,-73.21201022,67.77065463,6,653
r,3,-69.30447113,68.96085853,5,912
l,3,-70.14859412,72.63673114,2,1110
l,3,-70.76416389,68.60427754,5,965
l,3,-70.49456871,68.09687229,6,89
r,1,-69.86383043,75.35036408,4,477
r,1,-70.69356508,71.92904066,3,721
l,1,-70.38033306,68.65103964,6,28
r,2,-72.0745352,69.94793877,5,912
l,2,-71.17292044,68.53528377,5,965
l,1,-70.31761487,68.88716086,3,470
r,1,-71.41962766,68.01887701,5,1034
l,1,-69.3513438,69.58150825,4,851
l,2,-70.00176484,68.72370457,4,523
r,1,-68.87967186,69.45726618,3,965
r,3,-72.40506244,67.34034065,5,211
l,1,-71.81780951,70.70305538,5,782
r,2,-72.31260863,69.53365112,6,28
r,3,-68.57062124,69.91192014,3,462
l,1,-70.31239787,69.1449097,5,912
l,2,-71.45005096,71.01915488,5,1224
r,1,-71.29023189,68.32015681,4,523
r,1,-69.90533131,69.10431449,4,965
r,2,-70.19150729,67.61275058,4,142
l,3,-70.95101008,71.64873883,4,287
l,2,-69.96184104,73.15213612,3,1102
l,3,-71.8097166,70.77129194,6,1224
r,1,-70.48880352,68.11158427,6,1026
l,3,-71.10013672,71.44951022,6,1232
r,3,-72.06492193,69.78286859,4,470
l,3,-72.29325941,68.5844384,5,1034
r,3,-72.13262865,69.81277664,4,470
r,1,-69.87662923,68.33557288,4,1026
r,3,-70.7283224,72.25066819,4,218
l,3,-69.81996413,74.93291146,4,35
r,2,-69.44460056,76.44927948,3,858
r,2,-70.27259279,67.58247427,4,142
r,1,-70.27045876,71.82768262,5,279
r,2,-71.98342227,70.68687933,4,851
r,1,-73.26937561,67.45043958,4,523
r,1,-70.30627206,68.95854733,5,965
l,3,-70.3221086,71.89052431,3,721
l,2,-69.83590071,73.71693401,2,599
r,3,-68.87169343,69.81099981,2,462
r,1,-70.07540177,72.43391382,2,1110
