tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
1.109245101,r,3,-66.59095218,-62.62945153,2,1184
1.103271464,r,1,-66.19723851,-62.36662326,3,1184
1.097985532,l,2,-66.19395775,-62.43866434,2,1184
1.086047764,pair,3,-66.59046746,-62.62826019,2,1184
1.083415901,r,3,-66.1340861,-61.80320185,2,445
1.076862321,l,3,-68.41354997,-63.18976187,3,1184
1.056955264,l,1,-66.18544027,-62.36126268,3,1184
1.056778795,l,2,-68.82180114,-63.24151286,3,1184
1.044927224,pair,1,-69.61851648,-62.39182752,2,178
1.030636,r,2,-66.17033589,-61.39637877,2,178
1.012543993,l,2,-66.58667121,-62.55002831,3,1184
1.009354156,l,2,-65.97484396,-61.33994033,2,178
0.97603013,l,2,-68.40739168,-63.10537111,3,1184
0.960599438,r,2,-67.8048928,-65.53942287,2,308
0.946087328,r,3,-68.79379381,-63.31827586,3,1184
0.934889962,pair,3,-68.79366534,-63.31711144,3,1184
0.934731116,l,2,-66.07210608,-61.36691938,2,178
0.920816035,pair,2,-66.07383476,-61.36841979,2,178
0.920223246,pair,2,-65.97674999,-61.34148926,2,178
0.911286955,pair,2,-68.81829271,-63.24147646,3,1184
0.904140493,pair,3,-66.08939857,-62.07651749,2,3
0.90327696,r,2,-66.07094871,-61.36864078,2,178
0.899332166,pair,3,-68.41633717,-63.19179067,3,1184
0.895227564,l,3,-66.08997919,-62.07740755,2,3
0.886871253,r,2,-65.97688169,-61.34253643,2,178
0.877967958,r,2,-68.43700884,-63.63635885,3,300
0.85150204,l,3,-66.20851685,-62.04392052,2,3
0.819911901,r,2,-66.22335932,-62.11259675,3,3
0.812515125,l,1,-66.18476012,-62.20035269,2,3
0.801664496,r,1,-66.19017311,-62.19687161,2,3
0.800828764,r,3,-68.45492779,-63.20559415,3,1184
0.790736882,r,1,-68.73446543,-63.65048361,3,300
0.78233293,pair,1,-66.18737796,-62.19863843,2,3
0.776703406,r,2,-66.04926623,-62.16124236,2,3
0.762706178,pair,3,-68.45515403,-63.20454879,3,1184
0.751371443,pair,1,-68.818242,-63.417246,3,742
0.749529177,l,2,-66.22238967,-62.11497228,3,3
0.720607007,l,2,-67.65854878,-65.32739308,2,750
0.711592956,l,3,-66.1489665,-60.94390714,2,1062
0.690648137,l,3,-68.45467117,-63.20327264,3,1184
0.686443261,pair,2,-67.65956419,-65.32597585,2,750
0.684997156,pair,1,-68.8551179,-63.42920055,3,742
0.594806668,pair,1,-68.55282149,-63.59021065,3,300
0.594538527,r,2,-67.65845154,-65.32521291,2,750
0.550224714,pair,2,-70.70340699,-60.90355136,3,948
0.529882964,r,3,-67.79110323,-65.20395245,2,750
0.526463005,r,2,-67.68771299,-65.3162325,2,750
0.511561395,pair,2,-67.68900354,-65.31693229,2,750
0.507723159,l,1,-66.35734822,-62.6717193,2,506
0.473165569,r,2,-66.26532225,-62.62010824,2,506
0.469658639,r,2,-68.75115179,-63.48001566,2,742
0.445173583,l,3,-67.79049054,-65.20635831,2,750
0.4337303,pair,2,-66.37663239,-62.58972145,2,506
0.429815167,r,3,-68.54779647,-63.49578714,2,742
0.427880194,r,1,-66.26692249,-62.69483122,2,506
0.416416045,pair,2,-66.49179322,-62.55698155,2,506
0.405388674,r,1,-66.49933559,-62.8891682,2,64
0.37931239,l,3,-68.66640683,-63.79235683,2,300
0.358047632,pair,1,-66.26572719,-62.69621481,2,506
0.356484758,pair,2,-66.24620285,-62.62650624,2,506
0.351887258,l,3,-66.24212803,-62.55349493,2,506
0.337347734,r,1,-68.4627685,-63.30255116,2,742
0.324478702,pair,3,-68.66706524,-63.793735,2,300
0.282400908,r,2,-68.41313566,-63.36909224,2,742
0.249278951,r,2,-68.72238169,-63.72991698,3,300
,pair,1,-65.93494394,-62.29341386,4,1184
,r,3,-66.05373182,-60.65993644,2,117
,l,3,-67.61235422,-65.00220617,5,1192
,r,3,-65.98784827,-61.32509801,2,1329
,r,3,-69.33883506,-62.46781866,2,178
,l,3,-66.13547477,-60.7664279,4,826
,r,1,-68.72658855,-63.76981014,2,186
,r,2,-68.57094208,-63.73757414,3,186
,pair,1,-66.33594202,-63.18313371,4,1245
,l,3,-68.41333291,-62.93015944,3,125
,l,1,-70.2589051,-62.36120453,4,620
,pair,1,-69.27760185,-62.53331611,4,1123
,r,3,-68.68854748,-64.8397093,4,1306
,pair,3,-65.98736299,-61.32626114,2,1329
,r,1,-68.47448829,-63.04685967,3,1184
,pair,1,-67.60115879,-65.42341213,3,750
,l,2,-70.54361779,-60.96611551,2,948
,r,1,-68.2178096,-64.97148967,4,1192
,l,2,-65.95134054,-62.37108459,4,1184
,l,1,-70.71826995,-61.77015116,3,1009
,r,3,-70.72333393,-60.80251098,3,948
,pair,3,-68.68888147,-64.83866087,4,1306
,pair,3,-66.13218176,-61.80478056,3,445
,l,2,-66.49112956,-62.55819555,2,506
,l,2,-69.72514461,-61.99657857,4,1062
,l,3,-68.7239788,-61.00968274,3,445
,pair,1,-67.6633697,-64.88539446,2,247
,l,1,-66.25286364,-63.21977716,4,1009
,r,3,-66.92878619,-63.90965302,2,628
,pair,1,-68.05815444,-65.02279336,4,1192
,r,3,-66.60207606,-63.93037346,5,361
,l,1,-68.36172266,-65.18794308,3,750
,r,1,-69.6239598,-62.39489186,2,178
,r,1,-69.46589887,-62.59923372,4,1123
,r,1,-68.52471574,-64.09478289,5,1131
,r,1,-69.48805771,-62.21501034,4,1009
,pair,1,-66.01397908,-62.24645802,3,3
,l,2,-67.79120911,-65.02652165,5,1192
,l,3,-68.68908046,-64.83756757,4,1306
,pair,1,-70.25853851,-62.36227074,4,620
,l,2,-68.7626588,-60.8863971,3,1001
,r,3,-68.50868444,-62.96380431,2,239
,r,3,-70.90038902,-60.71478085,2,1382
,l,3,-68.7027613,-64.13205438,2,689
,l,1,-70.22324324,-62.34809516,4,620
,r,3,-67.06017646,-64.90893132,2,247
,r,3,-68.45249386,-63.69376282,3,186
,pair,2,-68.5703969,-64.25793765,2,689
,l,3,-66.53910588,-62.72821201,4,64
,l,1,-66.59819553,-63.7749378,4,361
,r,2,-67.57693822,-64.83110887,2,247
,r,2,-68.54496885,-63.67131879,3,300
,pair,3,-66.70342959,-63.95885897,4,361
,r,1,-69.27613439,-62.53399948,4,1123
,r,3,-69.49239806,-62.52240987,2,178
,l,2,-66.5922683,-62.52928106,4,506
,pair,2,-66.42704249,-63.80327145,4,361
,l,1,-66.49634276,-62.6326523,4,506
,pair,3,-67.5774582,-65.53121733,3,308
,l,2,-69.38155928,-62.65385217,4,1123
,l,2,-68.14367128,-65.17560511,3,750
,pair,2,-68.73759133,-63.68378214,3,186
,pair,3,-66.22775462,-61.74603617,3,1123
,pair,1,-68.52476432,-64.09590177,5,1131
,l,1,-70.85811005,-61.71639579,3,1009
,l,2,-69.22958394,-62.08248448,4,620
,l,3,-68.30089755,-64.96905497,3,864
,r,2,-69.48830206,-62.43446376,2,178
,pair,2,-67.65832285,-64.80724935,2,247
,r,1,-68.41487721,-63.09210033,3,125
,pair,2,-70.54214312,-60.96541816,2,948
,l,1,-68.78237419,-60.8091666,3,1001
,r,3,-68.73977078,-63.59836226,2,186
,r,2,-68.86335275,-63.25763665,3,1184
,pair,1,-70.22337049,-62.34934554,4,620
,pair,1,-66.87314045,-60.18749795,3,323
,r,1,-66.21985731,-62.11349081,3,239
,r,2,-68.45391556,-63.12271323,3,1184
,l,3,-66.00217248,-61.06371016,3,384
,r,1,-70.22208115,-62.35007225,4,620
,l,3,-66.84612313,-64.25902147,5,1306
,pair,2,-69.53316527,-62.18936152,5,620
,l,3,-66.03053393,-61.31519963,2,1329
,l,2,-68.54559106,-63.66942837,2,300
,l,2,-68.43468953,-63.52464532,2,628
,l,1,-68.73562835,-63.64853031,2,300
,r,1,-66.4958836,-62.63070361,4,506
,pair,1,-66.2247804,-61.5949104,4,1123
,r,1,-67.60128736,-65.42231081,2,750
,pair,2,-68.86393289,-63.25670147,3,1184
,pair,3,-67.61183087,-65.00128678,5,1192
,l,2,-68.73835171,-63.68472555,3,186
,r,1,-66.32116381,-61.90091848,3,445
,r,1,-70.86225276,-61.71222351,3,1009
,r,2,-66.67763581,-62.76221374,5,64
,l,1,-69.1511346,-62.332699,3,1009
,l,3,-70.69238347,-60.63015215,2,1382
,r,3,-68.94449809,-63.52917243,3,186
,r,1,-68.78227689,-60.81142204,2,1001
,l,3,-69.48086064,-62.56628674,2,125
,r,1,-69.15202553,-62.33000254,4,1009
,l,2,-68.86380419,-63.25552919,3,1184
